เลขที่บิล,วันที่,เวลา,สาขา,สินค้า,หมวดสินค้า,จำนวน,ราคาต่อหน่วย,ยอดขาย,รหัสลูกค้า,สถานะ
B002740,07/07/2569,08:59,สาขาอารีย์,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B002740,07/07/2569,08:59,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,,สำเร็จ
B002740,07/07/2569,08:59,สาขาอารีย์,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,,สำเร็จ
B002741,07/07/2569,08:28,สาขาอารีย์,เอสเปรสโซ่,กาแฟ,1,50,50,,สำเร็จ
B002742,07/07/2569,08:30,สาขาอารีย์,เอสเปรสโซ่,กาแฟ,1,50,50,M1130,สำเร็จ
B002743,07/07/2569,08:55,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,,สำเร็จ
B002743,07/07/2569,08:55,สาขาอารีย์,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B002743,07/07/2569,08:55,สาขาอารีย์,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,,สำเร็จ
B002744,07/07/2569,08:55,สาขาอารีย์,คาปูชิโน่ร้อน,กาแฟ,1,60,60,M0591,สำเร็จ
B002744,07/07/2569,08:55,สาขาอารีย์,โกโก้เย็น,ชาและเครื่องดื่ม,2,60,120,M0591,สำเร็จ
B002745,07/07/2569,08:57,สาขาอารีย์,อเมริกาโน่เย็น,กาแฟ,2,55,110,,สำเร็จ
B002746,07/07/2569,10:00,สาขาอารีย์,เอสเปรสโซ่,กาแฟ,1,50,50,M1565,สำเร็จ
B002747,07/07/2569,10:20,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,,สำเร็จ
B002747,07/07/2569,10:20,สาขาอารีย์,อเมริกาโน่เย็น,กาแฟ,1,55,55,,สำเร็จ
B002748,07/07/2569,10:54,สาขาอารีย์,สปาเกตตีคาโบนารา,อาหาร,1,129,129,M0477,สำเร็จ
B002748,07/07/2569,10:54,สาขาอารีย์,ลาเต้เย็น,กาแฟ,2,65,130,M0477,สำเร็จ
B002749,07/07/2569,10:52,สาขาอารีย์,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,,สำเร็จ
B002749,07/07/2569,10:52,สาขาอารีย์,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B002750,07/07/2569,10:13,สาขาอารีย์,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B002751,07/07/2569,11:03,สาขาอารีย์,เอสเปรสโซ่,กาแฟ,2,50,100,,สำเร็จ
B002751,07/07/2569,11:03,สาขาอารีย์,อเมริกาโน่เย็น,กาแฟ,1,55,55,,สำเร็จ
B002752,07/07/2569,11:15,สาขาอารีย์,สปาเกตตีคาโบนารา,อาหาร,2,129,258,,สำเร็จ
B002752,07/07/2569,11:15,สาขาอารีย์,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B002752,07/07/2569,11:15,สาขาอารีย์,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,,สำเร็จ
B002753,07/07/2569,11:12,สาขาอารีย์,แซนด์วิชแฮมชีส,อาหาร,1,85,85,M0167,สำเร็จ
B002753,07/07/2569,11:12,สาขาอารีย์,บานอฟฟี่,เบเกอรี่,1,90,90,M0167,สำเร็จ
B002754,07/07/2569,12:36,สาขาอารีย์,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B002755,07/07/2569,12:58,สาขาอารีย์,ข้าวกะเพราไก่ไข่ดาว,อาหาร,1,89,89,M0599,สำเร็จ
B002756,07/07/2569,12:47,สาขาอารีย์,ลาเต้เย็น,กาแฟ,1,65,65,,สำเร็จ
B002757,07/07/2569,12:09,สาขาอารีย์,บราวนี่ช็อกโกแลต,เบเกอรี่,2,65,130,,สำเร็จ
B002757,07/07/2569,12:09,สาขาอารีย์,คาปูชิโน่ร้อน,กาแฟ,1,60,60,,สำเร็จ
B002757,07/07/2569,12:09,สาขาอารีย์,เอสเปรสโซ่,กาแฟ,1,50,50,,สำเร็จ
B002758,07/07/2569,12:03,สาขาอารีย์,อเมริกาโน่เย็น,กาแฟ,1,55,55,M1025,สำเร็จ
B002758,07/07/2569,12:03,สาขาอารีย์,ข้าวกะเพราไก่ไข่ดาว,อาหาร,2,89,178,M1025,สำเร็จ
B002758,07/07/2569,12:03,สาขาอารีย์,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,M1025,สำเร็จ
B002759,07/07/2569,12:02,สาขาอารีย์,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B002759,07/07/2569,12:02,สาขาอารีย์,ข้าวกะเพราไก่ไข่ดาว,อาหาร,1,89,89,,สำเร็จ
B002760,07/07/2569,13:49,สาขาอารีย์,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,M1544,สำเร็จ
B002761,07/07/2569,13:19,สาขาอารีย์,บานอฟฟี่,เบเกอรี่,1,90,90,M0762,สำเร็จ
B002762,07/07/2569,13:57,สาขาอารีย์,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,M1613,สำเร็จ
B002763,07/07/2569,13:58,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,M1025,สำเร็จ
B002763,07/07/2569,13:58,สาขาอารีย์,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,M1025,สำเร็จ
B002764,07/07/2569,13:09,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,2,95,190,,สำเร็จ
B002765,07/07/2569,13:37,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,,สำเร็จ
B002766,07/07/2569,13:47,สาขาอารีย์,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B002766,07/07/2569,13:47,สาขาอารีย์,แซนด์วิชแฮมชีส,อาหาร,1,85,85,,สำเร็จ
B002767,07/07/2569,13:46,สาขาอารีย์,แซนด์วิชแฮมชีส,อาหาร,1,85,85,M0570,สำเร็จ
B002768,07/07/2569,14:02,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,M0948,สำเร็จ
B002768,07/07/2569,14:02,สาขาอารีย์,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,M0948,สำเร็จ
B002769,07/07/2569,14:39,สาขาอารีย์,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B002770,07/07/2569,14:15,สาขาอารีย์,เอสเปรสโซ่,กาแฟ,1,50,50,M1175,สำเร็จ
B002771,07/07/2569,14:18,สาขาอารีย์,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B002772,07/07/2569,14:50,สาขาอารีย์,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B002772,07/07/2569,14:50,สาขาอารีย์,อเมริกาโน่เย็น,กาแฟ,1,55,55,,สำเร็จ
B002773,07/07/2569,14:59,สาขาอารีย์,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,M1449,สำเร็จ
B002774,07/07/2569,14:18,สาขาอารีย์,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B002775,07/07/2569,14:14,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,,สำเร็จ
B002776,07/07/2569,15:23,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,,สำเร็จ
B002776,07/07/2569,15:23,สาขาอารีย์,สปาเกตตีคาโบนารา,อาหาร,1,129,129,,สำเร็จ
B002777,07/07/2569,15:43,สาขาอารีย์,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,,สำเร็จ
B002778,07/07/2569,15:51,สาขาอารีย์,ลาเต้เย็น,กาแฟ,2,65,130,,สำเร็จ
B002778,07/07/2569,15:51,สาขาอารีย์,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,,สำเร็จ
B002778,07/07/2569,15:51,สาขาอารีย์,ข้าวกะเพราไก่ไข่ดาว,อาหาร,1,89,89,,สำเร็จ
B002779,07/07/2569,15:34,สาขาอารีย์,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,M0620,สำเร็จ
B002780,07/07/2569,15:37,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,M1672,สำเร็จ
B002781,07/07/2569,15:36,สาขาอารีย์,คาปูชิโน่ร้อน,กาแฟ,1,60,60,,ยกเลิก
B002782,07/07/2569,15:20,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,,สำเร็จ
B002783,07/07/2569,15:05,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,M0030,สำเร็จ
B002784,07/07/2569,16:30,สาขาอารีย์,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,M0728,สำเร็จ
B002784,07/07/2569,16:30,สาขาอารีย์,เอสเปรสโซ่,กาแฟ,1,50,50,M0728,สำเร็จ
B002785,07/07/2569,16:37,สาขาอารีย์,ลาเต้เย็น,กาแฟ,1,65,65,,สำเร็จ
B002786,07/07/2569,16:17,สาขาอารีย์,สปาเกตตีคาโบนารา,อาหาร,1,129,129,,สำเร็จ
B002787,07/07/2569,16:46,สาขาอารีย์,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,M0793,สำเร็จ
B002788,07/07/2569,16:44,สาขาอารีย์,บานอฟฟี่,เบเกอรี่,1,90,90,M1751,สำเร็จ
B002789,07/07/2569,17:30,สาขาอารีย์,คาปูชิโน่ร้อน,กาแฟ,1,60,60,M0871,สำเร็จ
B002789,07/07/2569,17:30,สาขาอารีย์,ครัวซองต์เนยสด,เบเกอรี่,2,55,110,M0871,สำเร็จ
B002790,07/07/2569,17:51,สาขาอารีย์,อเมริกาโน่เย็น,กาแฟ,1,55,55,M0378,สำเร็จ
B002790,07/07/2569,17:51,สาขาอารีย์,อเมริกาโน่เย็น,กาแฟ,1,55,55,M0378,สำเร็จ
B002791,07/07/2569,18:13,สาขาอารีย์,ลาเต้เย็น,กาแฟ,1,65,65,M1543,สำเร็จ
B002792,07/07/2569,18:50,สาขาอารีย์,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B002793,07/07/2569,19:15,สาขาอารีย์,แซนด์วิชแฮมชีส,อาหาร,1,85,85,M1739,สำเร็จ
B002793,07/07/2569,19:15,สาขาอารีย์,เอสเปรสโซ่,กาแฟ,1,50,50,M1739,สำเร็จ
B002793,07/07/2569,19:15,สาขาอารีย์,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,M1739,สำเร็จ
B002794,07/07/2569,19:26,สาขาอารีย์,บราวนี่ช็อกโกแลต,เบเกอรี่,2,65,130,M1233,สำเร็จ
B002795,07/07/2569,07:01,สาขาทองหล่อ,บานอฟฟี่,เบเกอรี่,1,90,90,,สำเร็จ
B002795,07/07/2569,07:01,สาขาทองหล่อ,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B002796,07/07/2569,07:30,สาขาทองหล่อ,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,,สำเร็จ
B002796,07/07/2569,07:30,สาขาทองหล่อ,สปาเกตตีคาโบนารา,อาหาร,1,129,129,,สำเร็จ
B002797,07/07/2569,07:31,สาขาทองหล่อ,อเมริกาโน่เย็น,กาแฟ,1,55,55,M0744,สำเร็จ
B002798,07/07/2569,08:12,สาขาทองหล่อ,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,,สำเร็จ
B002799,07/07/2569,08:30,สาขาทองหล่อ,ข้าวกะเพราไก่ไข่ดาว,อาหาร,2,89,178,,สำเร็จ
B002800,07/07/2569,08:12,สาขาทองหล่อ,บราวนี่ช็อกโกแลต,เบเกอรี่,2,65,130,,สำเร็จ
B002800,07/07/2569,08:12,สาขาทองหล่อ,ลาเต้เย็น,กาแฟ,1,65,65,,สำเร็จ
B002801,07/07/2569,08:28,สาขาทองหล่อ,ลาเต้เย็น,กาแฟ,1,65,65,,สำเร็จ
B002801,07/07/2569,08:28,สาขาทองหล่อ,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B002802,07/07/2569,08:49,สาขาทองหล่อ,ลาเต้เย็น,กาแฟ,1,65,65,,สำเร็จ
B002803,07/07/2569,08:00,สาขาทองหล่อ,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,,สำเร็จ
B002803,07/07/2569,08:00,สาขาทองหล่อ,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B002804,07/07/2569,09:32,สาขาทองหล่อ,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,M1138,สำเร็จ
B002805,07/07/2569,09:24,สาขาทองหล่อ,คาปูชิโน่ร้อน,กาแฟ,1,60,60,,สำเร็จ
B002805,07/07/2569,09:24,สาขาทองหล่อ,คาปูชิโน่ร้อน,กาแฟ,2,60,120,,สำเร็จ
B002805,07/07/2569,09:24,สาขาทองหล่อ,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B002806,07/07/2569,09:06,สาขาทองหล่อ,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,M1685,สำเร็จ
B002806,07/07/2569,09:06,สาขาทองหล่อ,บานอฟฟี่,เบเกอรี่,1,90,90,M1685,สำเร็จ
B002807,07/07/2569,09:11,สาขาทองหล่อ,คาปูชิโน่ร้อน,กาแฟ,1,60,60,M1137,สำเร็จ
B002808,07/07/2569,09:38,สาขาทองหล่อ,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,,สำเร็จ
B002808,07/07/2569,09:38,สาขาทองหล่อ,ลาเต้เย็น,กาแฟ,1,65,65,,สำเร็จ
B002808,07/07/2569,09:38,สาขาทองหล่อ,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,,สำเร็จ
B002809,07/07/2569,09:31,สาขาทองหล่อ,คาปูชิโน่ร้อน,กาแฟ,1,60,60,M0033,สำเร็จ
B002810,07/07/2569,09:08,สาขาทองหล่อ,แซนด์วิชแฮมชีส,อาหาร,1,85,85,,สำเร็จ
B002811,07/07/2569,10:19,สาขาทองหล่อ,อเมริกาโน่เย็น,กาแฟ,1,55,55,M1596,สำเร็จ
B002812,07/07/2569,10:46,สาขาทองหล่อ,อเมริกาโน่เย็น,กาแฟ,1,55,55,,สำเร็จ
B002813,07/07/2569,10:48,สาขาทองหล่อ,โกโก้เย็น,ชาและเครื่องดื่ม,2,60,120,M1315,สำเร็จ
B002813,07/07/2569,10:48,สาขาทองหล่อ,ข้าวกะเพราไก่ไข่ดาว,อาหาร,1,89,89,M1315,สำเร็จ
B002814,07/07/2569,10:52,สาขาทองหล่อ,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B002815,07/07/2569,10:08,สาขาทองหล่อ,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,,สำเร็จ
B002815,07/07/2569,10:08,สาขาทองหล่อ,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,,สำเร็จ
B002816,07/07/2569,10:51,สาขาทองหล่อ,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,M1754,สำเร็จ
B002816,07/07/2569,10:51,สาขาทองหล่อ,ลาเต้เย็น,กาแฟ,1,65,65,M1754,สำเร็จ
B002817,07/07/2569,10:07,สาขาทองหล่อ,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B002818,07/07/2569,11:06,สาขาทองหล่อ,สปาเกตตีคาโบนารา,อาหาร,1,129,129,,สำเร็จ
B002818,07/07/2569,11:06,สาขาทองหล่อ,บานอฟฟี่,เบเกอรี่,1,90,90,,สำเร็จ
B002819,07/07/2569,11:26,สาขาทองหล่อ,คาปูชิโน่ร้อน,กาแฟ,1,60,60,,สำเร็จ
B002820,07/07/2569,11:10,สาขาทองหล่อ,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,,สำเร็จ
B002820,07/07/2569,11:10,สาขาทองหล่อ,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B002821,07/07/2569,11:07,สาขาทองหล่อ,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,,สำเร็จ
B002822,07/07/2569,11:36,สาขาทองหล่อ,เอสเปรสโซ่,กาแฟ,1,50,50,M0239,สำเร็จ
B002822,07/07/2569,11:36,สาขาทองหล่อ,มอคค่าเย็น,กาแฟ,1,70,70,M0239,สำเร็จ
B002822,07/07/2569,11:36,สาขาทองหล่อ,ลาเต้เย็น,กาแฟ,1,65,65,M0239,สำเร็จ
B002823,07/07/2569,11:56,สาขาทองหล่อ,อเมริกาโน่เย็น,กาแฟ,1,55,55,M0478,สำเร็จ
B002823,07/07/2569,11:56,สาขาทองหล่อ,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,M0478,สำเร็จ
B002824,07/07/2569,12:30,สาขาทองหล่อ,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,M0463,สำเร็จ
B002825,07/07/2569,12:24,สาขาทองหล่อ,แซนด์วิชแฮมชีส,อาหาร,1,85,85,M0232,สำเร็จ
B002826,07/07/2569,12:46,สาขาทองหล่อ,ข้าวกะเพราไก่ไข่ดาว,อาหาร,1,89,89,M0240,สำเร็จ
B002827,07/07/2569,12:51,สาขาทองหล่อ,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B002828,07/07/2569,12:22,สาขาทองหล่อ,แซนด์วิชแฮมชีส,อาหาร,1,85,85,M0014,สำเร็จ
B002828,07/07/2569,12:22,สาขาทองหล่อ,ลาเต้เย็น,กาแฟ,1,65,65,M0014,สำเร็จ
B002828,07/07/2569,12:22,สาขาทองหล่อ,คาปูชิโน่ร้อน,กาแฟ,1,60,60,M0014,สำเร็จ
B002829,07/07/2569,12:40,สาขาทองหล่อ,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,M0427,สำเร็จ
B002830,07/07/2569,12:20,สาขาทองหล่อ,แซนด์วิชแฮมชีส,อาหาร,1,85,85,M0351,สำเร็จ
B002831,07/07/2569,13:24,สาขาทองหล่อ,แซนด์วิชแฮมชีส,อาหาร,1,85,85,,สำเร็จ
B002832,07/07/2569,13:54,สาขาทองหล่อ,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,M0936,สำเร็จ
B002832,07/07/2569,13:54,สาขาทองหล่อ,สปาเกตตีคาโบนารา,อาหาร,1,129,129,M0936,สำเร็จ
B002833,07/07/2569,13:29,สาขาทองหล่อ,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B002833,07/07/2569,13:29,สาขาทองหล่อ,เอสเปรสโซ่,กาแฟ,1,50,50,,สำเร็จ
B002833,07/07/2569,13:29,สาขาทองหล่อ,ลาเต้เย็น,กาแฟ,1,65,65,,สำเร็จ
B002834,07/07/2569,13:13,สาขาทองหล่อ,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,,สำเร็จ
B002834,07/07/2569,13:13,สาขาทองหล่อ,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,,สำเร็จ
B002834,07/07/2569,13:13,สาขาทองหล่อ,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B002835,07/07/2569,14:02,สาขาทองหล่อ,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,M0597,สำเร็จ
B002835,07/07/2569,14:02,สาขาทองหล่อ,มอคค่าเย็น,กาแฟ,1,70,70,M0597,สำเร็จ
B002835,07/07/2569,14:02,สาขาทองหล่อ,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,M0597,สำเร็จ
B002836,07/07/2569,14:35,สาขาทองหล่อ,อเมริกาโน่เย็น,กาแฟ,1,55,55,M0139,สำเร็จ
B002836,07/07/2569,14:35,สาขาทองหล่อ,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,M0139,สำเร็จ
B002836,07/07/2569,14:35,สาขาทองหล่อ,อเมริกาโน่เย็น,กาแฟ,1,55,55,M0139,สำเร็จ
B002837,07/07/2569,14:38,สาขาทองหล่อ,บราวนี่ช็อกโกแลต,เบเกอรี่,2,65,130,,สำเร็จ
B002837,07/07/2569,14:38,สาขาทองหล่อ,คาปูชิโน่ร้อน,กาแฟ,1,60,60,,สำเร็จ
B002838,07/07/2569,14:35,สาขาทองหล่อ,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,,สำเร็จ
B002838,07/07/2569,14:35,สาขาทองหล่อ,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B002838,07/07/2569,14:35,สาขาทองหล่อ,คาปูชิโน่ร้อน,กาแฟ,1,60,60,,สำเร็จ
B002839,07/07/2569,14:07,สาขาทองหล่อ,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B002840,07/07/2569,14:51,สาขาทองหล่อ,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,,สำเร็จ
B002840,07/07/2569,14:51,สาขาทองหล่อ,มอคค่าเย็น,กาแฟ,2,70,140,,สำเร็จ
B002841,07/07/2569,15:02,สาขาทองหล่อ,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,M0694,สำเร็จ
B002842,07/07/2569,15:13,สาขาทองหล่อ,แซนด์วิชแฮมชีส,อาหาร,1,85,85,M1697,สำเร็จ
B002843,07/07/2569,15:07,สาขาทองหล่อ,อเมริกาโน่เย็น,กาแฟ,1,55,55,M0908,สำเร็จ
B002844,07/07/2569,15:50,สาขาทองหล่อ,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,,สำเร็จ
B002844,07/07/2569,15:50,สาขาทองหล่อ,ลาเต้เย็น,กาแฟ,1,65,65,,สำเร็จ
B002844,07/07/2569,15:50,สาขาทองหล่อ,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,2,75,150,,สำเร็จ
B002845,07/07/2569,16:48,สาขาทองหล่อ,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,M1495,สำเร็จ
B002846,07/07/2569,16:12,สาขาทองหล่อ,ครัวซองต์เนยสด,เบเกอรี่,2,55,110,,สำเร็จ
B002846,07/07/2569,16:12,สาขาทองหล่อ,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B002847,07/07/2569,16:18,สาขาทองหล่อ,บานอฟฟี่,เบเกอรี่,1,90,90,,สำเร็จ
B002848,07/07/2569,16:52,สาขาทองหล่อ,ลาเต้เย็น,กาแฟ,1,65,65,M0219,สำเร็จ
B002848,07/07/2569,16:52,สาขาทองหล่อ,เอสเปรสโซ่,กาแฟ,1,50,50,M0219,สำเร็จ
B002849,07/07/2569,16:57,สาขาทองหล่อ,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B002849,07/07/2569,16:57,สาขาทองหล่อ,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,2,95,190,,สำเร็จ
B002850,07/07/2569,17:24,สาขาทองหล่อ,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,M0654,สำเร็จ
B002850,07/07/2569,17:24,สาขาทองหล่อ,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,M0654,สำเร็จ
B002850,07/07/2569,17:24,สาขาทองหล่อ,มอคค่าเย็น,กาแฟ,2,70,140,M0654,สำเร็จ
B002851,07/07/2569,17:51,สาขาทองหล่อ,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,M1748,สำเร็จ
B002852,07/07/2569,17:05,สาขาทองหล่อ,เอสเปรสโซ่,กาแฟ,1,50,50,M1315,สำเร็จ
B002853,07/07/2569,17:32,สาขาทองหล่อ,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B002854,07/07/2569,17:47,สาขาทองหล่อ,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,M1130,สำเร็จ
B002854,07/07/2569,17:47,สาขาทองหล่อ,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,M1130,สำเร็จ
B002855,07/07/2569,19:09,สาขาทองหล่อ,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,M0079,สำเร็จ
B002855,07/07/2569,19:09,สาขาทองหล่อ,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,M0079,สำเร็จ
B002856,07/07/2569,19:02,สาขาทองหล่อ,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,M0228,สำเร็จ
B002857,07/07/2569,19:12,สาขาทองหล่อ,ลาเต้เย็น,กาแฟ,1,65,65,,สำเร็จ
B002857,07/07/2569,19:12,สาขาทองหล่อ,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,,สำเร็จ
B002857,07/07/2569,19:12,สาขาทองหล่อ,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B002858,07/07/2569,19:40,สาขาทองหล่อ,บานอฟฟี่,เบเกอรี่,1,90,90,,สำเร็จ
B002859,08/07/2569,07:35,สาขาสยาม,มอคค่าเย็น,กาแฟ,1,70,70,M1583,สำเร็จ
B002859,08/07/2569,07:35,สาขาสยาม,มอคค่าเย็น,กาแฟ,1,70,70,M1583,สำเร็จ
B002860,08/07/2569,07:42,สาขาสยาม,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,,สำเร็จ
B002861,08/07/2569,07:27,สาขาสยาม,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,,ยกเลิก
B002862,08/07/2569,07:19,สาขาสยาม,แซนด์วิชแฮมชีส,อาหาร,1,85,85,,สำเร็จ
B002862,08/07/2569,07:19,สาขาสยาม,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,,สำเร็จ
B002863,08/07/2569,07:38,สาขาสยาม,บานอฟฟี่,เบเกอรี่,1,90,90,M0206,สำเร็จ
B002864,08/07/2569,07:20,สาขาสยาม,เอสเปรสโซ่,กาแฟ,1,50,50,,สำเร็จ
B002865,08/07/2569,07:40,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,2,55,110,,สำเร็จ
B002866,08/07/2569,07:01,สาขาสยาม,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,M0052,สำเร็จ
B002867,08/07/2569,07:33,สาขาสยาม,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,2,95,190,M0328,สำเร็จ
B002867,08/07/2569,07:33,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,M0328,สำเร็จ
B002867,08/07/2569,07:33,สาขาสยาม,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,M0328,สำเร็จ
B002868,08/07/2569,07:16,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,M0542,สำเร็จ
B002869,08/07/2569,07:56,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,M1341,สำเร็จ
B002869,08/07/2569,07:56,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,M1341,สำเร็จ
